,Nomes,Posição,Temporadas All-Pro,Temporadas Pro Bowl,Total de jogos
0,Julius Peppers,DE,3,9,266
1,Dwight Freeney,DE,3,7,218
2,Darrelle Revis,DB,4,7,145
3,Joe Thomas,T,6,10,167
4,Devin Hester,PR,3,4,156
5,Andre Johnson,WR,2,7,193
6,DeMarcus Ware,LB,4,9,178
7,Calvin Johnson,WR,3,6,135
8,Peyton Manning,QB,7,14,266
9,Charles Woodson,DB,3,9,254
10,Patrick Willis,LB,5,7,112
11,Troy Polamalu,DB,4,8,158
12,Champ Bailey,DB,3,12,215
13,Tony Gonzalez,TE,6,14,270
14,Ed Reed,DB,5,9,174
15,Ronde Barber,DB,3,5,241
16,Richard Seymour,DE,3,7,164
17,Steve Hutchinson,G,5,7,169
18,Ray Lewis,LB,7,12,228
19,Randy Moss,WR,4,6,218
20,Brian Urlacher,LB,4,8,182
21,Brian Dawkins,DB,4,9,224
22,Jason Taylor,DE,3,6,233
23,LaDainian Tomlinson,RB,3,5,170
24,Alan Faneca,G,6,9,206
25,Terrell Owens,WR,5,6,219
26,Brett Favre,QB,3,11,302
27,Isaac Bruce,WR,0,4,223
28,Edgerrin James,RB,1,4,148
29,Ty Law,DB,2,5,203
30,Kevin Mawae,C,3,8,241
31,Kurt Warner,QB,2,4,124
32,Orlando Pace,T,3,7,169
33,Junior Seau,LB,6,12,268
34,Zach Thomas,LB,5,7,184
35,Marvin Harrison,WR,3,8,190
36,Derrick Brooks,LB,5,11,224
37,Walter Jones,T,4,9,180
38,Bryant Young,DT,1,4,208
39,John Lynch,DB,2,9,224
40,Morten Andersen,K,3,7,382
41,Michael Strahan,DE,4,7,216
42,Larry Allen,G,6,11,203
43,Jonathan Ogden,T,4,11,177
44,Warren Sapp,DT,4,7,198
45,Will Shields,G,2,12,224
46,Jerome Bettis,RB,2,6,192
47,Curtis Martin,RB,1,5,168
48,Willie Roaf,T,4,11,189
49,Marshall Faulk,RB,3,7,176
50,Deion Sanders,DB,6,8,188
51,Tim Brown,WR,0,9,255
52,Aeneas Williams,DB,3,8,211
53,Jerry Rice,WR,10,13,303
54,Emmitt Smith,RB,4,8,226
55,Shannon Sharpe,TE,4,8,204
56,John Randle,DT,6,7,219
57,Bruce Smith,DE,8,11,279
58,Rod Woodson,DB,6,11,238
59,Cris Carter,WR,2,8,234
60,Darrell Green,DB,1,7,295
61,Tony Boselli,T,3,5,91
62,LeRoy Butler,DB,4,4,181
63,Terrell Davis,RB,3,3,78
64,Randall McDaniel,G,7,12,222
65,Bruce Matthews,G,7,14,296
66,Andre Reed,WR,0,7,234
67,Dermontti Dawson,C,6,7,184
68,Cortez Kennedy,DT,3,8,167
69,Thurman Thomas,RB,2,5,182
70,Troy Aikman,QB,0,6,165
71,Warren Moon,QB,0,9,208
72,Reggie White,DE,8,13,232
73,Steve Atwater,DB,2,8,167
74,Kevin Greene,LB,2,5,228
75,Charles Haley,DE,2,5,169
76,Chris Doleman,DE,2,8,232
77,Derrick Thomas,LB,2,9,169
78,Michael Irvin,WR,1,5,159
79,Dan Marino,QB,3,9,242
80,Steve Young,QB,3,7,169
81,John Elway,QB,0,9,234
82,Barry Sanders,RB,6,10,153
83,Sam Mills,LB,1,5,181
84,Richard Dent,DE,1,4,203
85,Gary Zimmerman,T,3,7,184
86,Marcus Allen,RB,2,6,222
87,Jim Kelly,QB,1,5,160
88,Rickey Jackson,LB,0,6,227
89,Art Monk,WR,1,3,224
90,Jackie Slater,T,0,7,259
91,Steve McMichael,DT,2,2,213
92,Ronnie Lott,DB,6,10,192
93,Joe Montana,QB,3,8,192
94,Andre Tippett,LB,2,5,151
95,James Lofton,WR,1,8,233
96,Mike Munchak,G,2,9,159
97,Howie Long,DE,2,8,179
98,Eric Dickerson,RB,5,6,146
99,Lawrence Taylor,LB,8,10,184
